PING 172.31.47.114 (172.31.47.114) 56(84) bytes of data.
64 bytes from 172.31.47.114: icmp_seq=259 ttl=127 time=0.428 ms
64 bytes from 172.31.47.114: icmp_seq=260 ttl=127 time=0.307 ms
64 bytes from 172.31.47.114: icmp_seq=261 ttl=127 time=0.313 ms
64 bytes from 172.31.47.114: icmp_seq=262 ttl=127 time=0.299 ms
64 bytes from 172.31.47.114: icmp_seq=263 ttl=127 time=0.338 ms
64 bytes from 172.31.47.114: icmp_seq=264 ttl=127 time=0.300 ms
64 bytes from 172.31.47.114: icmp_seq=265 ttl=127 time=0.328 ms
64 bytes from 172.31.47.114: icmp_seq=266 ttl=127 time=0.318 ms
64 bytes from 172.31.47.114: icmp_seq=267 ttl=127 time=0.309 ms
64 bytes from 172.31.47.114: icmp_seq=268 ttl=127 time=0.396 ms
64 bytes from 172.31.47.114: icmp_seq=269 ttl=127 time=0.367 ms
64 bytes from 172.31.47.114: icmp_seq=270 ttl=127 time=0.312 ms
64 bytes from 172.31.47.114: icmp_seq=271 ttl=127 time=0.314 ms
64 bytes from 172.31.47.114: icmp_seq=272 ttl=127 time=0.307 ms
64 bytes from 172.31.47.114: icmp_seq=273 ttl=127 time=0.345 ms
64 bytes from 172.31.47.114: icmp_seq=274 ttl=127 time=0.409 ms
64 bytes from 172.31.47.114: icmp_seq=275 ttl=127 time=0.334 ms
64 bytes from 172.31.47.114: icmp_seq=276 ttl=127 time=0.300 ms
64 bytes from 172.31.47.114: icmp_seq=277 ttl=127 time=0.338 ms
64 bytes from 172.31.47.114: icmp_seq=278 ttl=127 time=0.353 ms
64 bytes from 172.31.47.114: icmp_seq=279 ttl=127 time=0.303 ms
64 bytes from 172.31.47.114: icmp_seq=280 ttl=127 time=0.384 ms
64 bytes from 172.31.47.114: icmp_seq=281 ttl=127 time=0.596 ms
64 bytes from 172.31.47.114: icmp_seq=282 ttl=127 time=0.333 ms
64 bytes from 172.31.47.114: icmp_seq=283 ttl=127 time=0.317 ms
64 bytes from 172.31.47.114: icmp_seq=284 ttl=127 time=0.305 ms
64 bytes from 172.31.47.114: icmp_seq=285 ttl=127 time=0.283 ms
64 bytes from 172.31.47.114: icmp_seq=286 ttl=127 time=0.294 ms
64 bytes from 172.31.47.114: icmp_seq=287 ttl=127 time=0.350 ms
64 bytes from 172.31.47.114: icmp_seq=288 ttl=127 time=0.355 ms
64 bytes from 172.31.47.114: icmp_seq=289 ttl=127 time=0.397 ms
64 bytes from 172.31.47.114: icmp_seq=290 ttl=127 time=0.298 ms
64 bytes from 172.31.47.114: icmp_seq=291 ttl=127 time=0.320 ms
64 bytes from 172.31.47.114: icmp_seq=292 ttl=127 time=0.304 ms
64 bytes from 172.31.47.114: icmp_seq=293 ttl=127 time=0.382 ms
64 bytes from 172.31.47.114: icmp_seq=294 ttl=127 time=0.295 ms
64 bytes from 172.31.47.114: icmp_seq=295 ttl=127 time=0.316 ms
64 bytes from 172.31.47.114: icmp_seq=296 ttl=127 time=0.323 ms
64 bytes from 172.31.47.114: icmp_seq=297 ttl=127 time=0.325 ms
64 bytes from 172.31.47.114: icmp_seq=298 ttl=127 time=0.302 ms
64 bytes from 172.31.47.114: icmp_seq=299 ttl=127 time=0.409 ms
64 bytes from 172.31.47.114: icmp_seq=300 ttl=127 time=0.336 ms
64 bytes from 172.31.47.114: icmp_seq=301 ttl=127 time=0.314 ms
64 bytes from 172.31.47.114: icmp_seq=302 ttl=127 time=0.292 ms
64 bytes from 172.31.47.114: icmp_seq=303 ttl=127 time=0.408 ms
64 bytes from 172.31.47.114: icmp_seq=304 ttl=127 time=0.294 ms
64 bytes from 172.31.47.114: icmp_seq=305 ttl=127 time=0.310 ms
64 bytes from 172.31.47.114: icmp_seq=306 ttl=127 time=0.397 ms
64 bytes from 172.31.47.114: icmp_seq=307 ttl=127 time=0.397 ms
64 bytes from 172.31.47.114: icmp_seq=308 ttl=127 time=0.367 ms
64 bytes from 172.31.47.114: icmp_seq=309 ttl=127 time=0.403 ms
64 bytes from 172.31.47.114: icmp_seq=310 ttl=127 time=0.281 ms
64 bytes from 172.31.47.114: icmp_seq=311 ttl=127 time=0.403 ms
64 bytes from 172.31.47.114: icmp_seq=312 ttl=127 time=0.393 ms
64 bytes from 172.31.47.114: icmp_seq=313 ttl=127 time=0.438 ms
64 bytes from 172.31.47.114: icmp_seq=314 ttl=127 time=0.340 ms
64 bytes from 172.31.47.114: icmp_seq=315 ttl=127 time=0.290 ms
64 bytes from 172.31.47.114: icmp_seq=316 ttl=127 time=0.307 ms
64 bytes from 172.31.47.114: icmp_seq=317 ttl=127 time=0.297 ms
64 bytes from 172.31.47.114: icmp_seq=318 ttl=127 time=0.308 ms
64 bytes from 172.31.47.114: icmp_seq=319 ttl=127 time=0.352 ms
64 bytes from 172.31.47.114: icmp_seq=320 ttl=127 time=0.313 ms
64 bytes from 172.31.47.114: icmp_seq=321 ttl=127 time=0.360 ms
64 bytes from 172.31.47.114: icmp_seq=322 ttl=127 time=0.305 ms
64 bytes from 172.31.47.114: icmp_seq=323 ttl=127 time=0.325 ms
64 bytes from 172.31.47.114: icmp_seq=324 ttl=127 time=0.296 ms
64 bytes from 172.31.47.114: icmp_seq=325 ttl=127 time=0.466 ms
64 bytes from 172.31.47.114: icmp_seq=326 ttl=127 time=0.322 ms
64 bytes from 172.31.47.114: icmp_seq=327 ttl=127 time=0.319 ms
64 bytes from 172.31.47.114: icmp_seq=328 ttl=127 time=0.309 ms
64 bytes from 172.31.47.114: icmp_seq=329 ttl=127 time=0.316 ms
64 bytes from 172.31.47.114: icmp_seq=330 ttl=127 time=0.360 ms
64 bytes from 172.31.47.114: icmp_seq=331 ttl=127 time=0.324 ms
64 bytes from 172.31.47.114: icmp_seq=332 ttl=127 time=0.287 ms
64 bytes from 172.31.47.114: icmp_seq=333 ttl=127 time=0.429 ms
64 bytes from 172.31.47.114: icmp_seq=334 ttl=127 time=0.300 ms
64 bytes from 172.31.47.114: icmp_seq=335 ttl=127 time=0.302 ms
64 bytes from 172.31.47.114: icmp_seq=336 ttl=127 time=0.329 ms
64 bytes from 172.31.47.114: icmp_seq=337 ttl=127 time=0.304 ms
64 bytes from 172.31.47.114: icmp_seq=338 ttl=127 time=0.395 ms
64 bytes from 172.31.47.114: icmp_seq=339 ttl=127 time=0.326 ms
64 bytes from 172.31.47.114: icmp_seq=340 ttl=127 time=0.329 ms
64 bytes from 172.31.47.114: icmp_seq=341 ttl=127 time=0.315 ms
64 bytes from 172.31.47.114: icmp_seq=342 ttl=127 time=0.315 ms
64 bytes from 172.31.47.114: icmp_seq=343 ttl=127 time=0.385 ms
64 bytes from 172.31.47.114: icmp_seq=344 ttl=127 time=0.318 ms
64 bytes from 172.31.47.114: icmp_seq=345 ttl=127 time=0.304 ms
64 bytes from 172.31.47.114: icmp_seq=346 ttl=127 time=0.321 ms
64 bytes from 172.31.47.114: icmp_seq=347 ttl=127 time=0.287 ms
64 bytes from 172.31.47.114: icmp_seq=348 ttl=127 time=0.298 ms
64 bytes from 172.31.47.114: icmp_seq=349 ttl=127 time=0.343 ms
64 bytes from 172.31.47.114: icmp_seq=350 ttl=127 time=0.309 ms
64 bytes from 172.31.47.114: icmp_seq=351 ttl=127 time=0.337 ms
64 bytes from 172.31.47.114: icmp_seq=352 ttl=127 time=0.465 ms
64 bytes from 172.31.47.114: icmp_seq=353 ttl=127 time=0.356 ms
64 bytes from 172.31.47.114: icmp_seq=354 ttl=127 time=0.304 ms
